value,total_removed,ground_removed,ground_removed_total,cone_removed
0.000000,0.024678,0.988630,0.025485,0.011370
0.002033,0.684369,0.982943,0.703248,0.016940
0.004065,0.750528,0.983794,0.771862,0.016100
0.006098,0.791780,0.984066,0.814492,0.015825
0.008130,0.811918,0.984018,0.835169,0.015876
0.010163,0.821278,0.983917,0.844722,0.015979
0.012195,0.826919,0.983735,0.850374,0.016161
0.014228,0.831391,0.983519,0.854798,0.016370
0.016260,0.835322,0.983356,0.858713,0.016525
0.018293,0.838163,0.983093,0.861425,0.016781
0.020325,0.840726,0.982889,0.863899,0.016978
0.022358,0.842413,0.982765,0.865520,0.017103
0.024390,0.844399,0.982658,0.867461,0.017211
0.026423,0.845696,0.982541,0.868690,0.017328
0.028455,0.846742,0.982383,0.869638,0.017486
0.030488,0.847560,0.982262,0.870375,0.017607
0.032520,0.848653,0.982142,0.871388,0.017728
0.034553,0.849255,0.982081,0.871952,0.017789
0.036585,0.849586,0.981962,0.872200,0.017908
0.038618,0.850156,0.981878,0.872716,0.017992
0.040650,0.850568,0.981783,0.873069,0.018087
0.042683,0.851130,0.981693,0.873568,0.018177
0.044715,0.851492,0.981544,0.873813,0.018326
0.046748,0.852079,0.981425,0.874320,0.018445
0.048781,0.852442,0.981289,0.874571,0.018581
0.050813,0.852736,0.981168,0.874762,0.018696
0.052846,0.853004,0.980994,0.874905,0.018870
0.054878,0.853288,0.980927,0.875144,0.018937
0.056911,0.853528,0.980857,0.875334,0.019006
0.058943,0.853858,0.980642,0.875492,0.019154
0.060976,0.854116,0.980459,0.875611,0.019299
0.063008,0.854467,0.980208,0.875784,0.019550
0.065041,0.854737,0.980014,0.875906,0.019744
0.067073,0.855058,0.979798,0.876050,0.019959
0.069106,0.855381,0.979633,0.876257,0.020124
0.071138,0.855667,0.979418,0.876390,0.020340
0.073171,0.855979,0.979203,0.876544,0.020554
0.075203,0.856294,0.978861,0.876573,0.020896
0.077236,0.856825,0.978487,0.876769,0.021271
0.079268,0.857538,0.978068,0.877124,0.021690
0.081301,0.858138,0.977641,0.877347,0.022117
0.083333,0.858568,0.977338,0.877519,0.022419
0.085366,0.859217,0.976651,0.877569,0.023099
0.087398,0.860269,0.975698,0.877845,0.024053
0.089431,0.861476,0.975167,0.878626,0.024583
0.091463,0.863098,0.974597,0.879792,0.025154
0.093496,0.864118,0.974091,0.880406,0.025660
0.095528,0.864768,0.973654,0.880698,0.026097
0.097561,0.865651,0.972754,0.880800,0.026997
0.099593,0.866476,0.972028,0.881010,0.027723
0.101626,0.867660,0.971575,0.881824,0.028176
0.103659,0.869196,0.971201,0.883053,0.028550
0.105691,0.870801,0.970946,0.884482,0.028805
0.107724,0.872518,0.970817,0.886120,0.028935
0.109756,0.874323,0.970515,0.887691,0.029239
0.111789,0.876154,0.970349,0.889408,0.029405
0.113821,0.877102,0.969931,0.889993,0.029823
0.115854,0.877874,0.969848,0.890708,0.029906
0.117886,0.878913,0.969522,0.891465,0.030232
0.119919,0.879972,0.969297,0.892352,0.030457
0.121951,0.881775,0.968967,0.893894,0.030788
0.123984,0.882743,0.968797,0.894725,0.030957
0.126016,0.883797,0.968672,0.895673,0.031082
0.128049,0.885236,0.968622,0.897082,0.031133
0.130081,0.886734,0.968387,0.898402,0.031347
0.132114,0.887953,0.968267,0.899518,0.031461
0.134146,0.888558,0.968137,0.900003,0.031592
0.136179,0.889226,0.967948,0.900511,0.031782
0.138211,0.889806,0.967777,0.900933,0.031953
0.140244,0.890234,0.967609,0.901232,0.032121
0.142276,0.890778,0.967456,0.901634,0.032274
0.144309,0.891480,0.967308,0.902211,0.032416
0.146341,0.892654,0.967130,0.903226,0.032595
0.148374,0.894149,0.966965,0.904585,0.032759
0.150406,0.895668,0.966811,0.905984,0.032913
0.152439,0.898089,0.966681,0.908330,0.033043
0.154471,0.901587,0.966688,0.911896,0.033036
0.156504,0.905766,0.966673,0.916153,0.033045
0.158537,0.909227,0.966675,0.919677,0.033044
0.160569,0.912948,0.966598,0.923381,0.033121
0.162602,0.916492,0.966585,0.926945,0.033135
0.164634,0.920256,0.966701,0.930879,0.033020
0.166667,0.922800,0.966681,0.933444,0.033040
0.166667,0.922800,0.966681,0.933444,0.033040
0.168699,0.924936,0.966438,0.935369,0.033285
0.170732,0.928016,0.966438,0.938479,0.033285
0.172764,0.930338,0.966310,0.940707,0.033407
0.174797,0.933084,0.966137,0.943323,0.033561
0.176829,0.935074,0.965973,0.945213,0.033651
0.178862,0.941690,0.965864,0.951795,0.033573
0.180894,0.943460,0.965751,0.953475,0.033680
0.182927,0.944442,0.965656,0.954362,0.033768
0.184959,0.946960,0.965445,0.956677,0.033862
0.186992,0.948083,0.965258,0.957618,0.034038
0.189024,0.949349,0.965076,0.958707,0.034161
0.191057,0.949897,0.964942,0.959117,0.034290
0.193089,0.951882,0.964803,0.960971,0.034425
0.195122,0.952299,0.964574,0.961156,0.034655
0.197154,0.952598,0.964388,0.961268,0.034841
0.199187,0.952987,0.964243,0.961515,0.034986
0.201219,0.953213,0.964136,0.961634,0.035093
0.203252,0.953466,0.963976,0.961729,0.035254
0.205285,0.953637,0.963893,0.961817,0.035331
0.207317,0.953877,0.963760,0.961921,0.035464
0.209350,0.954017,0.963631,0.961933,0.035593
0.211382,0.954098,0.963577,0.961959,0.035647
0.213415,0.954155,0.963528,0.961966,0.035696
0.215447,0.954271,0.963425,0.961980,0.035799
0.217480,0.954346,0.963351,0.961980,0.035872
0.219512,0.954502,0.963235,0.962017,0.035989
0.221545,0.954648,0.963093,0.962017,0.036131
0.223577,0.954756,0.962987,0.962017,0.036237
0.225610,0.954998,0.962802,0.962079,0.036422
0.227642,0.955143,0.962668,0.962099,0.036555
0.229675,0.955257,0.962555,0.962106,0.036669
0.231707,0.955439,0.962383,0.962113,0.036840
0.233740,0.955691,0.962214,0.962189,0.037010
0.235772,0.955792,0.962137,0.962210,0.037087
0.237805,0.955948,0.962010,0.962234,0.037214
0.239837,0.956093,0.961874,0.962240,0.037350
0.241870,0.956349,0.961669,0.962298,0.037555
0.243902,0.956658,0.961562,0.962508,0.037663
0.245935,0.957016,0.961497,0.962800,0.037727
0.247967,0.957289,0.961474,0.963051,0.037751
0.250000,0.957537,0.961398,0.963223,0.037827
0.250000,0.957537,0.961398,0.963223,0.037827
0.252033,0.957768,0.961294,0.963351,0.037931
0.254065,0.958163,0.961159,0.963612,0.038066
0.256098,0.958345,0.961106,0.963742,0.038119
