value,total_removed,ground_removed,ground_removed_total,cone_removed
0.001000,0.196689,0.984629,0.201738,0.075520
0.003079,0.230241,0.986583,0.236817,0.077494
0.005158,0.281140,0.988285,0.289881,0.079808
0.007237,0.343790,0.989605,0.355142,0.082506
0.009317,0.406406,0.990383,0.420364,0.087265
0.011396,0.462785,0.990829,0.479056,0.092824
0.013475,0.510223,0.991119,0.528472,0.096664
0.015554,0.550085,0.991173,0.569965,0.101012
0.017633,0.584073,0.991144,0.605323,0.106232
0.019712,0.613695,0.991156,0.636146,0.111225
0.021792,0.641357,0.991172,0.664942,0.116425
0.023871,0.664667,0.991044,0.689000,0.123782
0.025950,0.686998,0.990922,0.712087,0.130232
0.028029,0.707288,0.990716,0.732972,0.138167
0.030108,0.725435,0.990377,0.751501,0.146239
0.032187,0.742782,0.990214,0.769366,0.151704
0.034267,0.758429,0.989905,0.785346,0.158829
0.036346,0.772998,0.989458,0.800111,0.169464
0.038425,0.786962,0.989147,0.814323,0.176613
0.040504,0.799037,0.988758,0.826522,0.184696
0.042583,0.808364,0.988482,0.835949,0.193519
0.042583,0.808364,0.988482,0.835949,0.193519
0.044662,0.817489,0.988172,0.845134,0.200239
0.046742,0.825516,0.987932,0.853244,0.205930
0.048821,0.831821,0.987572,0.859465,0.215691
0.050900,0.837602,0.987208,0.865149,0.224709
0.052979,0.842707,0.986829,0.870101,0.233930
0.055058,0.846871,0.986450,0.874093,0.241491
0.057137,0.851242,0.985997,0.878212,0.250895
0.059217,0.854629,0.985563,0.881335,0.258949
0.061296,0.857772,0.985113,0.884189,0.269879
0.063375,0.860873,0.984782,0.887120,0.278297
0.065454,0.863508,0.984488,0.889585,0.286090
0.067533,0.865320,0.984248,0.891235,0.292950
0.069612,0.867469,0.983950,0.893190,0.300625
0.071692,0.869245,0.983570,0.894692,0.310823
0.073771,0.870983,0.983094,0.896039,0.321584
0.075850,0.872159,0.982675,0.896861,0.332935
0.077929,0.873497,0.982152,0.897760,0.344015
0.080008,0.874421,0.981699,0.898289,0.353844
0.082087,0.875188,0.981397,0.898810,0.360832
0.084167,0.876722,0.981234,0.900214,0.365116
0.084167,0.876722,0.981234,0.900214,0.365116
0.086246,0.878201,0.980883,0.901392,0.372911
0.088325,0.879240,0.980524,0.902122,0.379225
0.090404,0.882184,0.980180,0.904822,0.388505
0.092483,0.887550,0.980062,0.910249,0.395749
0.094563,0.893472,0.979842,0.916073,0.401655
0.096642,0.899143,0.979533,0.921552,0.408994
0.098721,0.903726,0.979386,0.926062,0.413680
0.100800,0.907231,0.979192,0.929430,0.420811
0.102879,0.910334,0.978980,0.932372,0.427332
0.104958,0.912036,0.978712,0.933861,0.436323
0.107037,0.912999,0.978464,0.934624,0.443337
0.109117,0.913504,0.978192,0.934896,0.450889
0.111196,0.914070,0.977932,0.935236,0.457161
0.113275,0.914445,0.977733,0.935426,0.462521
0.115354,0.914846,0.977398,0.935514,0.472730
0.117433,0.915324,0.977050,0.935668,0.483577
0.119512,0.915995,0.976842,0.936151,0.487420
0.121592,0.916546,0.976529,0.936414,0.493811
0.123671,0.917162,0.976163,0.936694,0.501853
0.125750,0.917850,0.975813,0.937057,0.510258
0.125750,0.917850,0.975813,0.937057,0.510258
0.127829,0.918851,0.975374,0.937667,0.521666
0.129908,0.920473,0.975179,0.939151,0.529189
0.131987,0.922891,0.975001,0.941480,0.538247
0.134067,0.925085,0.974750,0.943470,0.547847
0.136146,0.926584,0.974612,0.944855,0.551286
0.138225,0.928098,0.974416,0.946204,0.557066
0.140304,0.929391,0.974254,0.947354,0.561056
0.142383,0.930192,0.974036,0.947951,0.568111
0.144462,0.930923,0.973808,0.948467,0.575823
0.146542,0.932059,0.973696,0.949510,0.580906
0.148621,0.934305,0.973634,0.951718,0.583552
0.150700,0.936252,0.973565,0.953646,0.587574
0.152779,0.939293,0.973380,0.956579,0.593622
0.154858,0.942764,0.973172,0.959907,0.599199
0.156937,0.945061,0.972962,0.962027,0.606758
0.159017,0.948155,0.972563,0.964765,0.618269
0.161096,0.951932,0.972293,0.968304,0.625701
0.163175,0.956247,0.972173,0.972536,0.629857
0.165254,0.959346,0.972029,0.975517,0.634670
0.167333,0.961540,0.971868,0.977558,0.640328
0.167333,0.961540,0.971868,0.977558,0.640328
0.169412,0.964273,0.971668,0.980109,0.646287
0.171492,0.965767,0.971447,0.981389,0.652063
0.173571,0.966830,0.971240,0.982255,0.656252
0.175650,0.967975,0.971076,0.983242,0.659021
0.177729,0.970446,0.970722,0.985379,0.663105
0.179808,0.970913,0.970562,0.985689,0.667493
0.181887,0.971530,0.970287,0.986031,0.674453
0.183967,0.972267,0.970110,0.986597,0.678187
0.186046,0.973492,0.969826,0.987550,0.681726
0.188125,0.974359,0.969561,0.988157,0.687624
0.190204,0.975104,0.969417,0.988761,0.690416
0.192283,0.977052,0.969255,0.990558,0.694067
0.194362,0.977319,0.969071,0.990637,0.696660
0.196442,0.977799,0.968745,0.990789,0.705004
0.198521,0.978258,0.968585,0.991087,0.708573
0.200600,0.978810,0.968434,0.991488,0.711397
0.202679,0.979093,0.968262,0.991599,0.715475
0.204758,0.979316,0.968118,0.991679,0.718546
0.206837,0.979699,0.967844,0.991790,0.725979
0.208917,0.979945,0.967610,0.991797,0.730362
0.208917,0.979945,0.967610,0.991797,0.730362
0.210996,0.980138,0.967421,0.991797,0.734750
0.213075,0.980355,0.967246,0.991836,0.737629
0.215154,0.980634,0.967112,0.991977,0.740128
0.217233,0.980980,0.966947,0.992154,0.745221
0.219312,0.981278,0.966818,0.992324,0.748900
0.221392,0.981482,0.966767,0.992475,0.750476
0.223471,0.981632,0.966728,0.992585,0.751460
0.225550,0.981754,0.966676,0.992654,0.752827
0.227629,0.982040,0.966550,0.992810,0.756027
0.229708,0.982234,0.966448,0.992900,0.758361
0.231787,0.982417,0.966271,0.992900,0.761421
0.233867,0.982486,0.966204,0.992900,0.763079
0.235946,0.982635,0.966059,0.992900,0.768212
0.238025,0.982774,0.965922,0.992900,0.772941
0.240104,0.982921,0.965777,0.992900,0.776985
0.242183,0.983052,0.965650,0.992900,0.781651
0.244262,0.983097,0.965606,0.992900,0.782647
0.246342,0.983225,0.965479,0.992900,0.786359
0.248421,0.983385,0.965323,0.992900,0.790015
0.250500,0.983674,0.965044,0.992907,0.798007
0.250500,0.983674,0.965044,0.992907,0.798007
0.252579,0.983955,0.964771,0.992907,0.804671
0.254658,0.984166,0.964566,0.992907,0.808805
0.256737,0.984366,0.964371,0.992907,0.817996
0.258817,0.984576,0.964168,0.992907,0.822046
0.260896,0.984738,0.964011,0.992907,0.824965
0.262975,0.984854,0.963900,0.992907,0.827627
0.265054,0.984958,0.963802,0.992907,0.828857
0.267133,0.985051,0.963712,0.992907,0.830589
0.269212,0.985176,0.963592,0.992907,0.832830
0.271292,0.985345,0.963429,0.992907,0.835628
0.273371,0.985552,0.963228,0.992907,0.840122
0.275450,0.985773,0.963009,0.992907,0.845496
0.277529,0.985930,0.962855,0.992907,0.851337
0.279608,0.986038,0.962753,0.992907,0.853711
