value,total_removed,ground_removed,ground_removed_total,cone_removed
0.001000,0.021070,0.021721,0.995068,0.006075
0.003079,0.058057,0.060254,0.996073,0.008459
0.005158,0.108479,0.112838,0.997023,0.009629
0.007237,0.170565,0.177563,0.997308,0.012042
0.009317,0.235483,0.245143,0.997412,0.015978
0.011396,0.295468,0.307672,0.997502,0.017514
0.013475,0.348796,0.363211,0.997237,0.020837
0.015554,0.393687,0.410031,0.997127,0.022510
0.017633,0.431237,0.449223,0.997022,0.024105
0.019712,0.463426,0.482862,0.996993,0.025344
0.021792,0.490522,0.511176,0.996874,0.027154
0.023871,0.514990,0.536669,0.996810,0.028926
0.025950,0.536953,0.559570,0.996713,0.031773
0.028029,0.556679,0.580047,0.996485,0.036296
0.030108,0.575634,0.599602,0.996097,0.040534
0.032187,0.594157,0.618702,0.995778,0.048249
0.034267,0.611104,0.636100,0.995268,0.058612
0.036346,0.627789,0.653193,0.994820,0.070218
0.038425,0.644908,0.670736,0.994352,0.080998
0.040504,0.660796,0.686988,0.993931,0.089302
0.042583,0.676889,0.703368,0.993399,0.097361
0.042583,0.676889,0.703368,0.993399,0.097361
0.044662,0.691893,0.718743,0.993073,0.104497
0.046742,0.706705,0.733806,0.992581,0.113349
0.048821,0.719989,0.747321,0.992204,0.122727
0.050900,0.734212,0.761894,0.991902,0.131940
0.052979,0.747124,0.774911,0.991402,0.139882
0.055058,0.759656,0.787720,0.991173,0.146339
0.057137,0.771430,0.799713,0.990905,0.153543
0.059217,0.783494,0.811916,0.990502,0.162954
0.061296,0.794742,0.823144,0.989907,0.174876
0.063375,0.805906,0.834472,0.989615,0.182449
0.065454,0.816084,0.844713,0.989252,0.192047
0.067533,0.825826,0.854521,0.988919,0.202408
0.069612,0.835305,0.863871,0.988381,0.216100
0.071692,0.844650,0.873130,0.987903,0.226960
0.073771,0.853174,0.881425,0.987294,0.240766
0.075850,0.860827,0.888784,0.986697,0.256317
0.077929,0.868363,0.896157,0.986265,0.267102
0.080008,0.874860,0.902496,0.985864,0.277375
0.082087,0.880685,0.908269,0.985578,0.284776
0.084167,0.886032,0.913575,0.985340,0.290230
0.084167,0.886032,0.913575,0.985340,0.290230
0.086246,0.891375,0.918790,0.985030,0.297579
0.088325,0.896649,0.923920,0.984699,0.304524
0.090404,0.901190,0.928263,0.984350,0.311614
0.092483,0.905496,0.932348,0.983983,0.319583
0.094563,0.909325,0.935989,0.983673,0.324881
0.096642,0.913980,0.940533,0.983419,0.330164
0.098721,0.917903,0.944310,0.983137,0.335751
0.100800,0.921576,0.947722,0.982776,0.343490
0.102879,0.924915,0.950848,0.982470,0.351223
0.104958,0.928788,0.954532,0.982173,0.360890
0.107037,0.931646,0.957189,0.981896,0.369947
0.109117,0.934838,0.960164,0.981589,0.380855
0.111196,0.936906,0.961891,0.981200,0.393385
0.113275,0.939121,0.963831,0.980874,0.405604
0.115354,0.941095,0.965574,0.980596,0.416430
0.117433,0.943053,0.967303,0.980321,0.424056
0.119512,0.944575,0.968688,0.980156,0.429500
0.121592,0.946294,0.970238,0.979942,0.435580
0.123671,0.947848,0.971398,0.979462,0.446850
0.125750,0.949275,0.972328,0.978922,0.461329
0.125750,0.949275,0.972328,0.978922,0.461329
0.127829,0.950419,0.973013,0.978409,0.475602
0.129908,0.951569,0.973841,0.978053,0.486034
0.131987,0.952415,0.974449,0.977801,0.495114
0.134067,0.953128,0.974953,0.977578,0.503009
0.136146,0.953736,0.975408,0.977407,0.507178
0.138225,0.954271,0.975756,0.977204,0.510812
0.140304,0.954646,0.976005,0.977067,0.513285
0.142383,0.955008,0.976165,0.976858,0.517489
0.144462,0.955366,0.976334,0.976664,0.521558
0.146542,0.955629,0.976414,0.976478,0.526078
0.148621,0.956047,0.976563,0.976206,0.531575
0.150700,0.956407,0.976679,0.975958,0.536905
0.152779,0.957024,0.976887,0.975544,0.547671
0.154858,0.957432,0.977046,0.975288,0.552951
0.156937,0.957928,0.977147,0.974887,0.561302
0.159017,0.958282,0.977232,0.974603,0.566502
0.161096,0.958668,0.977351,0.974329,0.572906
0.163175,0.959033,0.977431,0.974043,0.579133
0.165254,0.959449,0.977497,0.973695,0.586415
0.167333,0.959865,0.977649,0.973425,0.590437
0.167333,0.959865,0.977649,0.973425,0.590437
0.169412,0.960181,0.977661,0.973124,0.596310
0.171492,0.960398,0.977694,0.972942,0.599542
0.173571,0.960628,0.977694,0.972715,0.604644
0.175650,0.960843,0.977713,0.972520,0.609593
0.177729,0.961148,0.977756,0.972262,0.617538
0.179808,0.961401,0.977793,0.972047,0.622166
0.181887,0.961568,0.977793,0.971882,0.626549
0.183967,0.961736,0.977843,0.971766,0.629267
0.186046,0.961933,0.977855,0.971576,0.634590
0.188125,0.962240,0.977855,0.971258,0.644307
0.190204,0.962530,0.977855,0.970960,0.652196
0.192283,0.962783,0.977855,0.970694,0.657664
0.194362,0.962849,0.977855,0.970630,0.659308
0.196442,0.962953,0.977855,0.970527,0.661680
0.198521,0.963080,0.977855,0.970403,0.664021
0.200600,0.963182,0.977855,0.970302,0.665890
0.202679,0.963345,0.977855,0.970141,0.669280
0.204758,0.963539,0.977855,0.969940,0.673927
0.206837,0.963738,0.977869,0.969753,0.677538
0.208917,0.963969,0.977869,0.969520,0.681839
0.208917,0.963969,0.977869,0.969520,0.681839
0.210996,0.964161,0.977904,0.969367,0.683915
0.213075,0.964357,0.978017,0.969287,0.686573
0.215154,0.964667,0.978220,0.969186,0.689624
0.217233,0.964887,0.978355,0.969104,0.692070
0.219312,0.965188,0.978547,0.969000,0.694767
0.221392,0.965440,0.978626,0.968830,0.698060
0.223471,0.965761,0.978847,0.968736,0.699771
0.225550,0.966087,0.979038,0.968607,0.702825
0.227629,0.966408,0.979181,0.968434,0.707463
0.229708,0.966914,0.979451,0.968207,0.711675
0.231787,0.967377,0.979714,0.968016,0.714574
0.233867,0.967757,0.979913,0.967840,0.717174
0.235946,0.968048,0.980005,0.967649,0.721287
0.238025,0.968319,0.980183,0.967560,0.723371
0.240104,0.968714,0.980444,0.967432,0.726569
0.242183,0.969243,0.980829,0.967294,0.730478
0.244262,0.969700,0.981122,0.967136,0.733409
0.246342,0.970159,0.981314,0.966877,0.737849
0.248421,0.970589,0.981478,0.966621,0.742360
0.250500,0.970869,0.981541,0.966412,0.747526
0.250500,0.970869,0.981541,0.966412,0.747526
0.252579,0.971127,0.981662,0.966280,0.750841
0.254658,0.971414,0.981782,0.966122,0.753163
0.256737,0.971686,0.981896,0.965969,0.761908
0.258817,0.971978,0.981985,0.965774,0.765574
0.260896,0.972198,0.982084,0.965659,0.767730
0.262975,0.972523,0.982259,0.965515,0.770163
0.265054,0.972777,0.982343,0.965354,0.772837
0.267133,0.973098,0.982538,0.965231,0.776865
0.269212,0.973321,0.982640,0.965115,0.779668
0.271292,0.973646,0.982830,0.964986,0.782858
0.273371,0.973793,0.982858,0.964871,0.785123
0.275450,0.974016,0.983007,0.964799,0.790510
0.277529,0.974173,0.983123,0.964759,0.792633
0.279608,0.974455,0.983339,0.964696,0.794426
0.281687,0.974642,0.983490,0.964660,0.796398
0.283767,0.974886,0.983641,0.964565,0.799113
0.285846,0.975163,0.983771,0.964422,0.802198
0.287925,0.975385,0.983818,0.964254,0.806086
0.290004,0.975705,0.984042,0.964163,0.807726
0.292083,0.975946,0.984139,0.964023,0.811842
0.292083,0.975946,0.984139,0.964023,0.811842
0.294162,0.976223,0.984235,0.963848,0.817293
0.296242,0.976528,0.984467,0.963776,0.819334
0.298321,0.976895,0.984753,0.963698,0.821102
0.300400,0.977266,0.984897,0.963480,0.825941
0.302479,0.977627,0.985020,0.963250,0.831723
0.304558,0.977998,0.985265,0.963127,0.835641
0.306637,0.978370,0.985455,0.962950,0.841241
0.308717,0.978648,0.985591,0.962814,0.843714
0.310796,0.978988,0.985718,0.962610,0.848866
0.312875,0.979443,0.985765,0.962215,0.862011
0.314954,0.979790,0.985848,0.961958,0.869182
0.317033,0.980095,0.985914,0.961727,0.874777
0.319112,0.980330,0.986010,0.961594,0.877660
0.321192,0.980467,0.986037,0.961488,0.879902
0.323271,0.980717,0.986174,0.961381,0.881157
0.325350,0.980873,0.986238,0.961293,0.882899
0.327429,0.981106,0.986335,0.961165,0.885620
0.329508,0.981398,0.986439,0.960987,0.889002
0.331587,0.981689,0.986553,0.960822,0.891123
0.333667,0.982057,0.986649,0.960567,0.894238
0.333667,0.982057,0.986649,0.960567,0.894238
0.335746,0.982284,0.986757,0.960455,0.895975
0.337825,0.982579,0.986841,0.960254,0.900987
0.339904,0.982653,0.986861,0.960202,0.901911
0.341983,0.982731,0.986875,0.960142,0.903189
0.344062,0.982921,0.986993,0.960076,0.903750
0.346142,0.982977,0.986993,0.960025,0.904434
0.348221,0.983056,0.986993,0.959950,0.905766
0.350300,0.983242,0.987055,0.959836,0.907138
0.352379,0.983354,0.987080,0.959752,0.909283
0.354458,0.983411,0.987111,0.959728,0.909864
0.356537,0.983504,0.987185,0.959711,0.910018
0.358617,0.983567,0.987203,0.959670,0.911143
0.360696,0.983781,0.987216,0.959481,0.915247
0.362775,0.983880,0.987284,0.959451,0.916058
0.364854,0.983917,0.987290,0.959423,0.916901
0.366933,0.984026,0.987296,0.959326,0.919713
0.369012,0.984082,0.987340,0.959314,0.919976
0.371092,0.984184,0.987359,0.959236,0.921590
0.373171,0.984259,0.987359,0.959168,0.922348
0.375250,0.984385,0.987415,0.959102,0.925103
0.375250,0.984385,0.987415,0.959102,0.925103
0.377329,0.984489,0.987415,0.959005,0.928348
0.379408,0.984514,0.987415,0.958983,0.928576
0.381487,0.984650,0.987502,0.958939,0.928981
0.383567,0.984682,0.987515,0.958921,0.929483
0.385646,0.984794,0.987582,0.958879,0.930597
0.387725,0.984883,0.987647,0.958856,0.931121
0.389804,0.984961,0.987706,0.958839,0.931420
0.391883,0.985064,0.987759,0.958795,0.931829
0.393962,0.985179,0.987852,0.958773,0.932565
0.396042,0.985360,0.987923,0.958669,0.934986
0.398121,0.985490,0.988002,0.958615,0.936278
0.400200,0.985634,0.988108,0.958576,0.937278
0.402279,0.985679,0.988148,0.958571,0.937338
0.404358,0.985843,0.988312,0.958573,0.937449
0.406437,0.986042,0.988461,0.958527,0.938016
0.408517,0.986276,0.988591,0.958433,0.939124
0.410596,0.986493,0.988689,0.958324,0.940319
0.412675,0.986701,0.988794,0.958232,0.941227
0.414754,0.986914,0.988945,0.958177,0.941787
0.416833,0.987033,0.988993,0.958112,0.942890
0.416833,0.987033,0.988993,0.958112,0.942890
0.418912,0.987209,0.989084,0.958036,0.943579
0.420992,0.987397,0.989216,0.957987,0.944044
0.423071,0.987650,0.989437,0.957958,0.944402
0.425150,0.987793,0.989531,0.957913,0.944900
0.427229,0.987980,0.989634,0.957838,0.945780
0.429308,0.988165,0.989701,0.957732,0.946999
0.431387,0.988251,0.989765,0.957712,0.947177
0.433467,0.988388,0.989861,0.957678,0.947488
0.435546,0.988456,0.989932,0.957681,0.947488
0.437625,0.988490,0.989968,0.957682,0.947488
0.439704,0.988517,0.989996,0.957684,0.947488
0.441783,0.988537,0.990016,0.957684,0.947488
0.443862,0.988886,0.990379,0.957698,0.947488
0.445942,0.988912,0.990405,0.957699,0.947488
0.448021,0.988983,0.990478,0.957700,0.947488
0.450100,0.989149,0.990602,0.957657,0.949024
0.452179,0.989271,0.990701,0.957630,0.950314
0.454258,0.989460,0.990831,0.957574,0.951578
0.456337,0.989559,0.990907,0.957553,0.952028
0.458416,0.989632,0.990976,0.957547,0.952350
0.458417,0.989632,0.990976,0.957547,0.952350
0.460496,0.989762,0.991111,0.957552,0.952350
0.462575,0.989858,0.991210,0.957556,0.952350
0.464654,0.989946,0.991274,0.957532,0.953052
0.466733,0.990008,0.991338,0.957535,0.953052
0.468812,0.990124,0.991459,0.957539,0.953052
0.470892,0.990206,0.991544,0.957542,0.953052
0.472971,0.990392,0.991679,0.957498,0.953627
0.475050,0.990452,0.991722,0.957481,0.954024
0.477129,0.990499,0.991771,0.957483,0.954024
0.479208,0.990526,0.991799,0.957484,0.954024
0.481287,0.990546,0.991813,0.957479,0.954068
0.483367,0.990601,0.991813,0.957430,0.954644
0.485446,0.990621,0.991813,0.957411,0.955040
0.487525,0.990627,0.991813,0.957406,0.955100
0.489604,0.990701,0.991827,0.957349,0.956491
0.491683,0.990748,0.991849,0.957321,0.959098
0.493762,0.990829,0.991904,0.957292,0.962493
0.495842,0.991009,0.991967,0.957184,0.965094
0.497921,0.991115,0.991989,0.957107,0.966641
0.500000,0.991242,0.992077,0.957073,0.966959
