value,total_removed,ground_removed,ground_removed_total,cone_removed
0.001000,0.377592,0.989378,0.390977,0.090384
0.003079,0.380222,0.989353,0.393662,0.092339
0.005158,0.383733,0.989271,0.397256,0.095250
0.007237,0.390361,0.989243,0.404111,0.099334
0.009317,0.396915,0.989312,0.410927,0.101172
0.011396,0.402273,0.989442,0.416539,0.101172
0.013475,0.405799,0.989450,0.420216,0.101835
0.015554,0.407975,0.989334,0.422428,0.103832
0.017633,0.409349,0.989381,0.423870,0.103832
0.019712,0.411141,0.989397,0.425748,0.104133
0.021792,0.411467,0.989380,0.426072,0.104594
0.023871,0.411813,0.989393,0.426428,0.104594
0.025950,0.412093,0.989387,0.426710,0.104738
0.028029,0.412312,0.989342,0.426920,0.104865
0.030108,0.412782,0.989352,0.427404,0.104865
0.032187,0.412855,0.989191,0.427404,0.105783
0.034267,0.415021,0.989186,0.429614,0.106579
0.036346,0.416742,0.989267,0.431396,0.106579
0.038425,0.418774,0.989170,0.433463,0.108304
0.040504,0.418792,0.989130,0.433463,0.108485
0.042583,0.418821,0.989132,0.433493,0.108485
0.042583,0.418821,0.989132,0.433493,0.108485
0.044662,0.420515,0.988936,0.435289,0.109415
0.046742,0.421314,0.988941,0.436309,0.109415
0.048821,0.420202,0.988944,0.435071,0.108688
0.050900,0.418016,0.989217,0.432857,0.106422
0.052979,0.421171,0.989342,0.436131,0.106242
0.055058,0.423616,0.989579,0.438876,0.106463
0.057137,0.424128,0.989515,0.439365,0.108195
0.059217,0.426254,0.989361,0.441461,0.110467
0.061296,0.427652,0.989337,0.443046,0.110553
0.063375,0.431482,0.989489,0.447010,0.110863
0.065454,0.435871,0.989614,0.451739,0.111913
0.067533,0.438848,0.989583,0.454909,0.112724
0.069612,0.441777,0.989621,0.457921,0.112724
0.071692,0.448113,0.989439,0.464768,0.115922
0.073771,0.452597,0.989066,0.469188,0.123655
0.075850,0.453308,0.989066,0.469926,0.123655
0.077929,0.461031,0.988852,0.478033,0.125345
0.080008,0.471862,0.988987,0.489329,0.124998
0.082087,0.475121,0.988893,0.492667,0.125411
0.084167,0.486071,0.988781,0.503715,0.130689
0.084167,0.486071,0.988781,0.503715,0.130689
