value,total_removed,ground_removed,ground_removed_total,cone_removed
0.000000,0.024398,0.988105,0.025222,0.011743
0.002033,0.719299,0.981514,0.737883,0.018352
0.004065,0.760235,0.982253,0.780489,0.017620
0.006098,0.785171,0.982696,0.806494,0.017174
0.008130,0.798390,0.982740,0.820108,0.017131
0.010163,0.806577,0.982767,0.828572,0.017105
0.012195,0.813048,0.982843,0.835292,0.017030
0.014228,0.818974,0.982824,0.841381,0.017043
0.016260,0.823925,0.982790,0.846453,0.017070
0.018293,0.827817,0.982834,0.850504,0.017026
0.020325,0.831387,0.982772,0.854131,0.017082
0.022358,0.834587,0.982742,0.857404,0.017113
0.024390,0.837548,0.982695,0.860411,0.017160
0.026423,0.839538,0.982604,0.862387,0.017251
0.028455,0.841729,0.982556,0.864600,0.017293
0.030488,0.843462,0.982510,0.866346,0.017339
0.032520,0.844756,0.982449,0.867623,0.017401
0.034553,0.845736,0.982423,0.868609,0.017427
0.036585,0.846851,0.982306,0.869666,0.017544
0.038618,0.847807,0.982214,0.870565,0.017636
0.040650,0.848921,0.982177,0.871695,0.017673
0.042683,0.850047,0.982078,0.872772,0.017772
0.044715,0.850894,0.981894,0.873488,0.017957
0.046748,0.851614,0.981823,0.874161,0.018027
0.048781,0.852381,0.981723,0.874864,0.018127
0.050813,0.853156,0.981681,0.875616,0.018163
0.052846,0.853560,0.981636,0.875989,0.018208
0.054878,0.854035,0.981560,0.876422,0.018284
0.056911,0.854708,0.981510,0.877074,0.018334
0.058943,0.855135,0.981360,0.877389,0.018413
0.060976,0.855618,0.981174,0.877751,0.018562
0.063008,0.856130,0.980966,0.878122,0.018771
0.065041,0.856428,0.980863,0.878355,0.018874
0.067073,0.856768,0.980766,0.878621,0.018971
0.069106,0.857210,0.980706,0.879042,0.019030
0.071138,0.857438,0.980662,0.879235,0.019075
0.073171,0.857709,0.980576,0.879440,0.019161
0.075203,0.858093,0.980268,0.879584,0.019469
0.077236,0.858947,0.979984,0.880202,0.019753
0.079268,0.859421,0.979612,0.880366,0.020125
0.081301,0.860365,0.979184,0.880931,0.020553
0.083333,0.860846,0.978858,0.881140,0.020879
0.085366,0.862311,0.978133,0.881966,0.021604
0.087398,0.864005,0.977010,0.882718,0.022727
0.089431,0.866415,0.976387,0.884596,0.023350
0.091463,0.870368,0.975866,0.888180,0.023871
0.093496,0.873940,0.975364,0.891399,0.024374
0.095528,0.875108,0.974956,0.892264,0.024782
0.097561,0.876618,0.973943,0.892893,0.025781
0.099593,0.877450,0.973205,0.893138,0.026519
0.101626,0.878614,0.972661,0.893862,0.027063
0.103659,0.880092,0.972143,0.894897,0.027581
0.105691,0.881779,0.971784,0.896282,0.027940
0.107724,0.882840,0.971598,0.897175,0.028126
0.109756,0.883764,0.971274,0.897822,0.028450
0.111789,0.884422,0.971068,0.898295,0.028656
0.113821,0.884952,0.970773,0.898558,0.028951
0.115854,0.885574,0.970542,0.898984,0.029182
0.117886,0.886376,0.970343,0.899615,0.029380
0.119919,0.887124,0.970132,0.900206,0.029592
0.121951,0.888283,0.969864,0.901131,0.029860
0.123984,0.889174,0.969540,0.901736,0.030184
0.126016,0.889896,0.969385,0.902333,0.030339
0.128049,0.890356,0.969214,0.902638,0.030511
0.130081,0.891321,0.969008,0.903426,0.030717
0.132114,0.891902,0.968914,0.903924,0.030811
0.134146,0.892289,0.968753,0.904162,0.030973
0.136179,0.892745,0.968613,0.904509,0.031112
0.138211,0.893273,0.968458,0.904899,0.031268
0.140244,0.893682,0.968355,0.905210,0.031371
0.142276,0.893985,0.968262,0.905428,0.031465
0.144309,0.894593,0.968209,0.905990,0.031518
0.146341,0.895683,0.968081,0.906969,0.031645
0.148374,0.896639,0.967973,0.907841,0.031754
0.150406,0.897868,0.967938,0.909056,0.031789
0.152439,0.899822,0.967847,0.910959,0.031873
0.154471,0.902263,0.967818,0.913418,0.031903
0.156504,0.905149,0.967802,0.916356,0.031912
0.158537,0.907836,0.967746,0.919032,0.031968
0.160569,0.910140,0.967602,0.921233,0.032113
0.162602,0.912658,0.967586,0.923770,0.032129
0.164634,0.915090,0.967680,0.926357,0.032035
0.166667,0.917239,0.967676,0.928536,0.032041
0.166667,0.917239,0.967676,0.928536,0.032041
0.168699,0.919173,0.967404,0.930230,0.032313
0.170732,0.922045,0.967201,0.932928,0.032516
0.172764,0.924266,0.966981,0.934971,0.032731
0.174797,0.926484,0.966798,0.937036,0.032894
0.176829,0.928273,0.966602,0.938660,0.033017
0.178862,0.934282,0.966454,0.944580,0.032979
0.180894,0.935667,0.966375,0.945897,0.033052
0.182927,0.936388,0.966337,0.946585,0.033083
0.184959,0.938817,0.966109,0.948789,0.033194
0.186992,0.939935,0.965915,0.949714,0.033377
0.189024,0.940969,0.965771,0.950609,0.033463
0.191057,0.941432,0.965662,0.950962,0.033567
0.193089,0.943292,0.965490,0.952655,0.033734
0.195122,0.943620,0.965331,0.952831,0.033895
0.197154,0.943904,0.965149,0.952951,0.034076
0.199187,0.944305,0.965022,0.953241,0.034203
